name,hoop
184.npy,"841,182,899,201"
186.npy,"688,161,746,177"
188.npy,"807,181,865,199"
19.npy,"682,164,741,180"
190.npy,"797,177,853,194"
191.npy,"946,192,995,203"
192.npy,"829,160,883,179"
193.npy,"795,156,850,172"
195.npy,"886,214,932,224"
196.npy,"728,213,778,227"
197.npy,"853,132,910,150"
20.npy,"783,212,832,228"
204.npy,"864,128,918,143"
206.npy,"855,229,905,243"
208.npy,"806,169,864,190"
21.npy,"851,213,909,230"
213.npy,"815,203,871,221"
22.npy,"971,170,1045,189"
222.npy,"675,197,731,213"
23.npy,"1000,131,1058,147"
230.npy,"968,160,1018,175"
231.npy,"826,199,875,210"
243.npy,"979,170,1040,187"
247.npy,"896,196,939,208"
264.npy,"682,174,742,190"
274.npy,"958,128,1015,144"
275.npy,"676,166,734,182"
281.npy,"671,167,729,183"
29.npy,"766,171,821,188"
294.npy,"950,161,998,178"
295.npy,"756,207,807,221"
3.npy,"646,168,704,184"
310.npy,"839,155,896,172"
318.npy,"764,152,828,166"
319.npy,"871,178,927,197"
325.npy,"756,209,807,222"
344.npy,"749,167,803,183"
349.npy,"810,123,875,146"
35.npy,"807,219,862,230"
353.npy,"792,168,854,186"
359.npy,"848,167,905,180"
36.npy,"903,154,956,169"
361.npy,"793,129,853,149"
362.npy,"792,159,849,178"
364.npy,"819,134,888,157"
368.npy,"874,138,935,158"
369.npy,"889,128,941,143"
373.npy,"885,130,944,150"
386.npy,"915,148,976,169"
387.npy,"812,168,873,185"
392.npy,"762,166,814,184"
397.npy,"829,201,874,214"
4.npy,"832,167,893,185"
401.npy,"731,223,781,238"
41.npy,"896,173,949,186"
411.npy,"807,184,871,202"
415.npy,"883,116,939,135"
416.npy,"853,136,909,154"
417.npy,"854,125,911,144"
419.npy,"787,162,842,179"
426.npy,"851,228,910,243"
439.npy,"932,139,988,154"
440.npy,"980,151,1041,169"
443.npy,"758,166,815,184"
444.npy,"760,166,817,184"
448.npy,"843,170,905,191"
454.npy,"860,160,910,177"
456.npy,"885,120,935,134"
458.npy,"888,117,937,134"
459.npy,"848,186,902,200"
462.npy,"872,161,936,180"
464.npy,"970,157,1029,169"
475.npy,"812,123,876,146"
476.npy,"868,138,919,153"
57.npy,"897,154,951,169"
6.npy,"770,167,825,183"
600.npy,"947,235,1000,246"
601.npy,"871,214,923,226"
602.npy,"776,251,824,264"
603.npy,"868,135,934,156"
604.npy,"771,215,806,227"
605.npy,"792,168,854,186"
606.npy,"763,167,821,183"
607.npy,"748,168,804,185"
608.npy,"929,138,984,153"
609.npy,"863,208,916,220"
610.npy,"955,167,1012,181"
611.npy,"796,208,850,223"
612.npy,"795,143,858,162"
613.npy,"937,161,997,175"
614.npy,"795,251,845,265"
615.npy,"874,149,939,170"
616.npy,"793,129,853,149"
617.npy,"837,169,897,190"
618.npy,"792,159,849,178"
619.npy,"819,134,888,157"
620.npy,"799,191,849,204"
621.npy,"789,210,838,224"
622.npy,"940,218,988,231"
623.npy,"884,163,941,176"
624.npy,"748,258,797,269"
625.npy,"839,154,897,172"
627.npy,"903,154,956,169"
628.npy,"831,257,886,273"
629.npy,"805,263,853,276"
631.npy,"731,225,785,242"
632.npy,"796,277,841,289"
633.npy,"791,150,851,166"
634.npy,"815,272,860,281"
635.npy,"722,209,771,222"
636.npy,"849,260,898,270"
637.npy,"794,284,839,298"
639.npy,"829,231,884,243"
640.npy,"774,130,837,148"
641.npy,"912,171,967,185"
642.npy,"718,227,759,240"
643.npy,"731,191,781,204"
644.npy,"897,154,951,169"
645.npy,"903,153,956,167"
646.npy,"797,216,853,233"
647.npy,"886,142,943,159"
648.npy,"771,224,823,236"
649.npy,"687,191,734,204"
650.npy,"891,277,948,289"
651.npy,"828,149,883,165"
652.npy,"766,200,825,217"
653.npy,"812,168,873,185"
654.npy,"796,157,861,175"
656.npy,"907,152,962,167"
657.npy,"951,150,1009,164"
658.npy,"809,263,860,276"
659.npy,"735,214,787,228"
660.npy,"848,247,907,260"
661.npy,"762,166,814,184"
662.npy,"777,173,834,191"
663.npy,"809,155,879,175"
664.npy,"793,165,857,183"
665.npy,"829,201,874,214"
666.npy,"810,274,862,288"
667.npy,"788,242,849,255"
668.npy,"788,183,845,200"
669.npy,"895,158,947,174"
670.npy,"846,164,909,184"
671.npy,"859,180,906,195"
673.npy,"777,232,826,244"
674.npy,"731,223,781,238"
675.npy,"791,131,848,147"
677.npy,"854,158,912,178"
678.npy,"952,149,1008,162"
679.npy,"968,145,1022,160"
680.npy,"905,141,959,155"
682.npy,"852,174,909,191"
684.npy,"976,147,1030,162"
685.npy,"807,184,871,202"
688.npy,"780,192,834,206"
698.npy,"787,162,842,179"
7.npy,"834,196,884,210"
703.npy,"906,254,955,264"
711.npy,"827,243,878,254"
717.npy,"851,228,910,243"
725.npy,"936,156,991,171"
730.npy,"864,128,918,143"
732.npy,"823,201,888,217"
747.npy,"968,160,1018,175"
748.npy,"800,257,848,270"
755.npy,"923,142,981,158"
757.npy,"849,290,895,300"
764.npy,"958,128,1015,144"
768.npy,"812,123,876,146"
77.npy,"934,236,982,246"
770.npy,"878,153,936,167"
771.npy,"756,207,807,221"
777.npy,"859,163,913,181"
786.npy,"846,148,914,163"
790.npy,"953,214,1002,224"
791.npy,"955,158,1012,172"
796.npy,"820,147,880,164"
797.npy,"791,161,848,177"
8.npy,"697,163,755,178"
801.npy,"840,228,888,241"
807.npy,"861,164,909,180"
81.npy,"803,212,858,228"
811.npy,"784,190,834,207"
813.npy,"841,212,887,222"
818.npy,"929,137,986,153"
821.npy,"853,208,904,226"
822.npy,"779,155,843,168"
825.npy,"837,163,893,178"
841.npy,"751,174,796,190"
849.npy,"765,149,830,163"
85.npy,"789,216,835,226"
850.npy,"802,169,859,185"
857.npy,"705,176,765,194"
858.npy,"889,182,946,201"
862.npy,"691,161,748,177"
863.npy,"887,163,953,182"
864.npy,"940,141,999,155"
865.npy,"812,180,871,198"
866.npy,"864,190,910,202"
867.npy,"789,196,852,217"
868.npy,"737,204,785,218"
869.npy,"941,135,1000,152"
87.npy,"797,116,851,135"
870.npy,"857,152,914,171"
871.npy,"841,170,905,189"
872.npy,"705,228,748,242"
874.npy,"808,169,861,184"
875.npy,"780,185,842,204"
879.npy,"766,141,825,157"
880.npy,"821,201,878,217"
881.npy,"894,142,949,158"
882.npy,"829,147,887,167"
883.npy,"685,188,744,205"
885.npy,"856,226,910,241"
886.npy,"698,189,758,206"
888.npy,"875,124,928,140"
889.npy,"833,168,884,184"
890.npy,"771,136,826,151"
892.npy,"663,178,724,195"
893.npy,"903,150,959,167"
895.npy,"800,215,853,230"
896.npy,"800,189,861,206"
897.npy,"699,262,744,277"
898.npy,"928,132,984,148"
899.npy,"857,209,898,222"
9.npy,"929,138,984,153"
900.npy,"799,121,854,137"
901.npy,"838,181,887,193"
904.npy,"697,174,754,189"
905.npy,"994,228,1055,246"
907.npy,"918,135,970,150"
914.npy,"676,267,724,281"
925.npy,"668,181,727,198"
930.npy,"776,176,830,192"
931.npy,"682,255,721,269"
935.npy,"853,193,921,214"
942.npy,"892,117,951,136"
943.npy,"906,149,958,165"
957.npy,"921,154,974,169"
964.npy,"830,188,896,209"
965.npy,"990,137,1046,152"
97.npy,"753,227,803,242"
986.npy,"844,138,903,154"
987.npy,"794,201,857,221"
988.npy,"790,199,850,218"
994.npy,"893,194,949,210"
996.npy,"868,218,924,233"
